Price,Area,Address,Beds,Bath,Pic
80 Lakh,1 Kanal,1 Kanal Farm House For Sale in Bedian Road Hair Village,No info given,1,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
61 Lakh,5 Marla,5 Marla Double Storey House In Exotic Location Eden Gardens Lahore,3,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
50 Lakh,5 Marla,"2 Bed Apartment On 1.5 Years Instalments For Sale In Orchard Homes, Bahria Orchard Phase 4",2,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
98 Lakh,5 Marla,5 Marla House For sale Is Available In Grand Avenue Housing Scheme - Block B,3,3,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
98 Lakh,5 Marla,Hause for sale,6,4,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
65 Lakh,5 Marla,A Good Option For Sale Is The House Available In Khayaban-e-amin In Lahore,2,1,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
97 Lakh,5 Marla,Buy A Centrally Located 5 Marla House In Khayaban-e-Amin - Block G,3,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
95 Lakh,5 Marla,House Sized 5 Marla Is Available For sale In Khayaban-e-Amin - Block N,3,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
1 Crore,5 Marla,5 Marla Brand New Triple Storey Solid Construction House With All Utilities At 100 Lac Demand,4,5,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
82 Lakh,5 Marla,5 Marla Single Storey House,2,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
87.5 Lakh,5 Marla,5 marla fresh house for sale in Lahore garden housing scheme,4,6,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
98 Lakh,5 Marla,5 Marla House Up For Sale In Khayaban-e-Amin,3,2,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
85 Lakh,5 Marla,Lda Avenue - Block F House Sized 1125 Square Feet,3,1,https://media.zameen.com/thumbnails/162481749-400x300.jpeg
